Time,Channel A
(ms),(V)

90.73199977,-4.30982400
90.73399977,-4.28907100
90.73599977,-4.27869500
90.73799977,-4.33118700
90.73999977,-4.32081100
90.74199977,-4.32081100
90.74399977,-4.30982400
90.74599977,-4.34156300
90.74799977,-4.27869500
90.74999977,-4.28907100
90.75199977,-4.32081100
90.75399977,-4.35194000
90.75599977,-4.32081100
90.75799977,-4.35194000
90.75999977,-4.32081100
90.76199977,-4.34156300
90.76399977,-4.29944800
90.76599977,-4.33118700
90.76799977,-4.30982400
90.76999977,-4.27869500
90.77199977,-4.32081100
90.77399977,-4.32081100
90.77599977,-4.29944800
90.77799977,-4.30982400
90.77999977,-4.33118700
90.78199977,-4.29944800
90.78399977,-4.29944800
90.78599977,-4.30982400
90.78799977,-4.30982400
90.78999977,-4.28907100
90.79199977,-4.33118700
90.79399977,-4.30982400
90.79599977,-4.29944800
90.79799977,-4.32081100
90.79999977,-4.26770800
90.80199977,-4.29944800
90.80399977,-4.33118700
90.80599977,-4.30982400
90.80799977,-4.27869500
90.80999977,-4.29944800
90.81199977,-4.35194000
90.81399977,-4.27869500
90.81599977,-4.32081100
90.81799977,-4.27869500
90.81999977,-4.25733200
90.82199977,-4.34156300
90.82399977,-4.28907100
90.82599977,-4.30982400
90.82799977,-4.29944800
90.82999977,-4.29944800
90.83199977,-4.29944800
90.83399977,-4.26770800
90.83599977,-4.29944800
90.83799977,-4.27869500
90.83999977,-4.29944800
90.84199977,-4.29944800
90.84399977,-4.37330200
90.84599977,-4.32081100
90.84799977,-4.30982400
90.84999977,-4.30982400
90.85199977,-4.28907100
90.85399977,-4.33118700
90.85599977,-4.32081100
90.85799977,-4.30982400
90.85999977,-4.28907100
90.86199977,-4.30982400
90.86399977,-4.33118700
90.86599977,-4.30982400
90.86799977,-4.35194000
90.86999977,-4.30982400
90.87199977,-4.35194000
90.87399977,-4.34156300
90.87599977,-4.29944800
90.87799977,-4.32081100
90.87999977,-4.29944800
90.88199977,-4.26770800
90.88399977,-4.32081100
90.88599977,-4.29944800
90.88799977,-4.34156300
90.88999977,-4.29944800
90.89199977,-4.29944800
90.89399977,-4.28907100
